iter	Passed	Remaining
0	3	367
1	7	355
2	10	325
3	12	308
4	16	314
5	20	313
6	24	319
7	26	310
8	31	317
9	34	311
10	38	309
11	42	311
12	46	309
13	50	308
14	53	303
15	56	294
16	58	287
17	61	280
18	65	279
19	69	276
20	71	270
21	76	269
22	79	265
23	83	263
24	85	257
25	90	256
26	93	251
27	97	249
28	99	244
29	103	241
30	107	239
31	111	237
32	115	233
33	118	230
34	121	226
35	125	223
36	128	219
37	132	216
38	136	213
39	139	209
40	142	205
41	143	198
42	147	195
43	150	191
44	153	187
45	157	184
46	160	181
47	164	177
48	167	174
49	170	170
50	174	167
51	177	163
52	180	160
53	183	156
54	185	152
55	189	148
56	192	145
57	195	141
58	198	138
59	202	134
60	206	131
61	209	128
62	213	125
63	216	121
64	219	118
65	223	114
66	226	111
67	229	107
68	232	104
69	235	100
70	238	97
71	241	94
72	244	90
73	247	86
74	250	83
75	253	80
76	256	76
77	259	73
78	262	69
79	265	66
80	268	62
81	270	59
82	273	56
83	276	52
84	279	49
85	281	45
86	284	42
87	286	39
88	289	35
89	292	32
90	295	29
91	297	25
92	299	22
93	302	19
94	305	16
95	307	12
96	310	9
97	313	6
98	316	3
99	318	0
