iter	Passed	Remaining
0	2	2390
1	4	2476
2	6	2187
3	8	2088
4	10	2007
5	11	1950
6	13	1892
7	14	1826
8	16	1775
9	17	1723
10	18	1675
11	19	1633
12	21	1596
13	22	1556
14	23	1529
15	24	1513
16	26	1522
17	27	1511
18	28	1490
19	29	1465
20	31	1445
21	32	1425
22	33	1403
23	34	1384
24	35	1367
25	36	1350
26	37	1333
27	38	1321
28	39	1312
29	40	1305
30	42	1312
31	42	1300
32	43	1288
33	44	1277
34	45	1268
35	47	1258
36	47	1248
37	49	1240
38	49	1230
39	50	1223
40	51	1212
41	52	1204
42	53	1194
43	54	1186
44	55	1187
45	57	1188
46	58	1181
47	58	1169
48	59	1161
49	60	1154
50	61	1145
51	62	1138
52	63	1129
53	64	1122
54	64	1115
55	65	1107
56	66	1101
57	67	1096
58	68	1090
59	69	1087
60	70	1087
61	71	1088
62	72	1081
63	73	1077
64	74	1072
65	75	1066
66	76	1059
67	76	1052
68	77	1048
69	78	1042
70	79	1037
71	80	1031
72	80	1026
73	81	1021
74	82	1016
75	83	1013
76	84	1009
77	85	1009
78	86	1006
79	87	1000
80	87	994
81	88	989
82	88	980
83	89	975
84	90	969
85	90	964
86	91	959
87	92	953
88	92	948
89	93	943
90	93	938
91	94	933
92	95	929
93	95	924
94	96	920
95	97	915
96	97	911
97	98	908
98	99	907
99	100	907
100	101	903
101	102	899
102	102	895
103	103	891
104	104	887
105	104	884
106	105	880
107	106	876
108	106	873
109	107	869
110	108	866
111	108	862
112	109	858
113	110	855
114	110	852
115	111	848
116	111	844
117	112	842
118	113	840
119	114	839
120	115	840
121	116	836
122	116	833
123	117	830
124	118	827
125	118	824
126	119	820
127	120	817
128	120	815
129	121	812
130	121	809
131	122	806
132	123	803
133	123	800
134	124	798
135	125	795
136	125	793
137	126	790
138	127	788
139	128	788
140	129	790
141	130	787
142	131	785
143	131	782
144	132	780
145	133	778
146	133	775
147	134	773
148	135	771
149	135	769
150	136	766
151	137	764
152	137	762
153	138	760
154	139	757
155	139	755
156	140	753
157	140	751
158	141	748
159	142	750
160	143	749
161	144	748
162	145	746
163	146	745
164	146	743
165	147	741
166	148	739
167	148	736
168	149	735
169	150	733
170	150	731
171	151	729
172	152	727
173	152	725
174	153	723
175	154	721
176	154	719
177	155	717
178	156	716
179	157	716
180	158	717
181	159	716
182	160	715
183	161	714
184	161	712
185	162	710
186	162	708
187	163	706
188	164	705
189	164	703
190	165	701
191	166	699
192	167	698
193	167	696
194	168	695
195	169	693
196	169	691
197	170	690
198	171	688
199	172	688
200	173	688
201	174	687
202	175	689
203	176	688
204	177	687
205	177	685
206	178	684
207	179	682
208	179	681
209	180	679
210	181	677
211	181	676
212	182	674
213	183	673
214	183	671
215	184	670
216	185	668
217	186	667
218	187	667
219	188	668
220	189	667
221	190	668
222	191	667
223	192	666
224	193	665
225	194	664
226	194	663
227	195	661
228	196	660
229	196	658
230	197	656
231	198	655
232	198	654
233	199	652
234	200	651
235	201	651
236	202	653
237	203	652
238	204	652
239	205	650
240	206	649
241	206	648
242	207	646
243	208	645
244	208	643
245	209	642
246	210	640
247	210	639
248	211	638
249	212	637
250	212	635
251	213	634
252	214	632
253	214	631
254	216	631
255	217	631
256	218	631
257	219	630
258	219	629
259	220	628
260	221	626
261	222	625
262	222	624
263	223	622
264	224	621
265	224	619
266	225	618
267	225	617
268	226	615
269	227	614
270	227	613
271	228	611
272	229	610
273	229	609
274	230	608
275	231	608
276	232	607
277	233	606
278	234	605
279	234	604
280	235	602
281	236	601
282	236	600
283	237	598
284	238	597
285	238	596
286	239	595
287	240	594
288	240	592
289	241	591
290	242	590
291	243	589
292	243	588
293	244	587
294	245	586
295	246	586
296	247	586
297	248	585
298	249	583
299	249	582
300	250	581
301	251	580
302	251	579
303	252	577
304	253	576
305	253	575
306	254	574
307	255	573
308	255	572
309	256	570
310	257	569
311	257	568
312	258	567
313	259	566
314	260	565
315	261	565
316	262	565
317	263	564
318	264	564
319	264	563
320	265	561
321	266	560
322	267	559
323	267	558
324	268	557
325	269	556
326	269	555
327	270	553
328	271	552
329	271	551
330	272	550
331	273	549
332	273	548
333	274	547
334	275	546
335	276	546
336	277	546
337	278	544
338	278	543
339	279	542
340	280	541
341	280	540
342	281	539
343	282	537
344	282	536
345	283	535
346	284	534
347	284	533
348	285	532
349	286	531
350	286	530
351	287	528
352	288	527
353	288	526
354	289	526
355	290	525
356	291	524
357	292	524
358	293	523
359	293	522
360	294	521
361	295	520
362	296	519
363	296	518
364	297	517
365	298	516
366	299	515
367	299	514
368	300	513
369	301	512
370	301	511
371	302	510
372	303	509
373	303	508
374	304	508
375	305	507
376	307	507
377	307	506
378	308	505
379	308	504
380	309	503
381	310	502
382	310	500
383	311	499
384	312	498
385	312	497
386	313	496
387	314	495
388	315	494
389	315	493
390	316	492
391	317	491
392	317	490
393	318	489
394	319	489
395	320	488
396	321	487
397	321	486
398	322	485
399	323	484
400	323	483
401	324	482
402	325	481
403	325	480
404	326	479
405	327	478
406	327	477
407	328	476
408	329	475
409	330	474
410	330	473
411	331	472
412	331	471
413	332	470
414	333	470
415	334	469
416	335	469
417	336	468
418	337	467
419	337	466
420	338	465
421	339	464
422	339	463
423	340	462
424	341	461
425	341	460
426	342	459
427	343	458
428	343	457
429	344	456
430	345	455
431	345	454
432	346	453
433	347	452
434	348	452
435	349	451
436	350	451
437	351	451
438	353	451
439	354	450
440	355	450
441	355	449
442	356	448
443	357	447
444	358	446
445	358	445
446	359	444
447	360	443
448	361	443
449	361	442
450	362	441
451	363	440
452	364	439
453	365	439
454	365	438
455	366	437
456	367	436
457	368	436
458	369	435
459	370	434
460	371	434
461	372	433
462	372	432
463	373	431
464	374	430
465	374	429
466	375	428
467	376	427
468	377	427
469	379	427
470	380	426
471	381	426
472	381	425
473	382	424
474	383	423
475	383	422
476	384	421
477	385	420
478	385	419
479	386	418
480	387	417
481	388	417
482	388	416
483	389	415
484	390	414
485	390	413
486	391	412
487	392	411
488	393	411
489	394	410
490	395	409
491	396	408
492	396	408
493	397	407
494	398	406
495	398	405
496	399	404
497	400	403
498	400	402
499	401	401
500	402	400
501	403	399
502	403	399
503	404	398
504	405	397
505	406	396
506	407	395
507	408	395
508	409	394
509	409	393
510	410	392
511	411	391
512	411	391
513	412	390
514	413	389
515	414	388
516	414	387
517	415	386
518	416	385
519	416	384
520	417	383
521	418	382
522	418	381
523	419	381
524	420	380
525	421	379
526	422	378
527	423	378
528	423	377
529	424	376
530	425	375
531	426	374
532	426	373
533	427	372
534	428	372
535	428	371
536	429	370
537	430	369
538	430	368
539	431	367
540	432	366
541	432	365
542	433	365
543	434	364
544	435	363
545	436	363
546	438	362
547	438	362
548	439	361
549	440	360
550	441	359
551	442	358
552	442	358
553	443	357
554	444	356
555	445	355
556	445	354
557	446	353
558	447	352
559	448	352
560	448	351
561	449	350
562	450	349
563	451	349
564	452	348
565	453	347
566	454	347
567	455	346
568	456	345
569	457	344
570	457	343
571	458	343
572	459	342
573	460	341
574	460	340
575	461	339
576	462	339
577	463	338
578	463	337
579	464	336
580	465	335
581	466	335
582	467	334
583	468	333
584	469	332
585	470	332
586	470	331
587	471	330
588	472	329
589	473	329
590	474	328
591	475	327
592	475	326
593	476	325
594	477	325
595	478	324
596	479	323
597	480	322
598	481	322
599	482	321
600	483	320
601	484	320
602	484	319
603	485	318
604	486	317
605	487	316
606	488	316
607	489	315
608	489	314
609	490	313
610	491	312
611	492	312
612	493	311
613	494	310
614	495	310
615	496	309
616	497	308
617	497	307
618	498	306
619	499	306
620	500	305
621	500	304
622	501	303
623	502	302
624	503	302
625	504	301
626	505	300
627	505	299
628	506	298
629	507	298
630	508	297
631	509	296
632	510	296
633	511	295
634	512	294
635	513	293
636	514	293
637	515	292
638	515	291
639	516	290
640	517	289
641	518	288
642	518	288
643	519	287
644	520	286
645	521	285
646	522	284
647	522	284
648	524	283
649	524	282
650	525	281
651	526	281
652	527	280
653	528	279
654	528	278
655	529	277
656	530	276
657	531	276
658	532	275
659	532	274
660	533	273
661	534	272
662	535	272
663	536	271
664	538	271
665	539	270
666	540	269
667	541	269
668	542	268
669	543	267
670	544	266
671	545	266
672	546	265
673	546	264
674	547	263
675	548	262
676	549	262
677	550	261
678	550	260
679	551	259
680	552	258
681	553	258
682	554	257
683	555	256
684	556	255
685	557	255
686	558	254
687	559	253
688	560	252
689	560	252
690	562	251
691	562	250
692	564	249
693	565	249
694	566	248
695	567	247
696	568	247
697	569	246
698	571	245
699	572	245
700	572	244
701	573	243
702	574	242
703	575	241
704	576	241
705	577	240
706	577	239
707	578	238
708	579	237
709	580	237
710	581	236
711	582	235
712	584	235
713	585	234
714	586	233
715	586	232
716	587	231
717	588	231
718	589	230
719	590	229
720	591	228
721	591	227
722	592	227
723	593	226
724	594	225
725	595	224
726	596	223
727	597	223
728	598	222
729	598	221
730	599	220
731	600	219
732	601	219
733	602	218
734	603	217
735	603	216
736	604	215
737	605	214
738	606	214
739	607	213
740	607	212
741	608	211
742	609	210
743	610	209
744	611	209
745	612	208
746	613	207
747	614	206
748	615	206
749	615	205
750	616	204
751	617	203
752	618	202
753	619	201
754	619	201
755	620	200
756	621	199
757	622	198
758	622	197
759	623	196
760	624	196
761	625	195
762	626	194
763	627	193
764	628	192
765	629	192
766	629	191
767	630	190
768	631	189
769	632	188
770	633	188
771	633	187
772	634	186
773	635	185
774	636	184
775	637	183
776	637	183
777	638	182
778	639	181
779	640	180
780	641	179
781	642	178
782	642	178
783	643	177
784	644	176
785	645	175
786	646	174
787	646	174
788	647	173
789	648	172
790	649	171
791	650	170
